miRNA_identifier,description,symbol,miRNA_length,miRNA_chr,mirna_start,mirna_end,miRNA_strand,miRNA_source,trait,QTL_id_UMD31,QTL_chr
ENSBTAT00000007516-UMD3.1.1,,,117,Chr17,55575432,55575548,-1,Ensembl93,Udder swelling score,106610,Chr17
ENSBTAT00000007516-UMD3.1.1,,,117,Chr17,55575432,55575548,-1,Ensembl93,Age at first calving,140108,Chr17
ENSBTAT00000007516-UMD3.1.1,,,117,Chr17,55575432,55575548,-1,Ensembl93,Milk lactose content,147628,Chr17
ENSBTAT00000007516-UMD3.1.1,,,117,Chr17,55575432,55575548,-1,Ensembl93,Milk lactose content,147655,Chr17
ENSBTAT00000007516-UMD3.1.1,,,117,Chr17,55575432,55575548,-1,Ensembl93,Milk protein percentage,147674,Chr17
ENSBTAT00000007516-UMD3.1.1,,,117,Chr17,55575432,55575548,-1,Ensembl93,Milk myristoleic acid content,56632,Chr17
ENSBTAT00000007516-UMD3.1.1,,,117,Chr17,55575432,55575548,-1,Ensembl93,Milk palmitoleic acid content,56633,Chr17
ENSBTAT00000030494-UMD3.1.1,,,132,Chr3,32399961,32400092,1,Ensembl93,Lean meat yield,36672,Chr3
ENSBTAT00000030494-UMD3.1.1,,,132,Chr3,32399961,32400092,1,Ensembl93,Body weight (weaning),24711,Chr3
ENSBTAT00000037383-UMD3.1.1,,,93,Chr13,70021531,70021623,-1,Ensembl93,Milk caproic acid content,56345,Chr13
ENSBTAT00000037383-UMD3.1.1,,,93,Chr13,70021531,70021623,-1,Ensembl93,Milk caprylic acid content,56346,Chr13
ENSBTAT00000037383-UMD3.1.1,,,93,Chr13,70021531,70021623,-1,Ensembl93,Milk capric acid content,56347,Chr13
ENSBTAT00000037383-UMD3.1.1,,,93,Chr13,70021531,70021623,-1,Ensembl93,Milk myristoleic acid content,56348,Chr13
ENSBTAT00000037383-UMD3.1.1,,,93,Chr13,70021531,70021623,-1,Ensembl93,Milk palmitoleic acid content,56349,Chr13
ENSBTAT00000037755-UMD3.1.1,,,104,Chr13,46545942,46546045,-1,Ensembl93,Milk pH,180234,Chr13
ENSBTAT00000037755-UMD3.1.1,,,104,Chr13,46545942,46546045,-1,Ensembl93,Milk caproic acid content,56617,Chr13
ENSBTAT00000037755-UMD3.1.1,,,104,Chr13,46545942,46546045,-1,Ensembl93,Milk caprylic acid content,56618,Chr13
ENSBTAT00000037755-UMD3.1.1,,,104,Chr13,46545942,46546045,-1,Ensembl93,Milk capric acid content,56619,Chr13
ENSBTAT00000040332-UMD3.1.1,,,110,Chr6,69985404,69985513,1,Ensembl93,Meat color a*,214938,Chr6
ENSBTAT00000040332-UMD3.1.1,,,110,Chr6,69985404,69985513,1,Ensembl93,Stayability,181647,Chr6
ENSBTAT00000040332-UMD3.1.1,,,110,Chr6,69985404,69985513,1,Ensembl93,Average daily gain,22811,Chr6
ENSBTAT00000040332-UMD3.1.1,,,110,Chr6,69985404,69985513,1,Ensembl93,Average daily gain,22827,Chr6
ENSBTAT00000040332-UMD3.1.1,,,110,Chr6,69985404,69985513,1,Ensembl93,Shear force,20764,Chr6
ENSBTAT00000042139-UMD3.1.1,bta-mir-320a-2 [Source:miRBase;Acc:MI0004748],bta-mir-320a-2,82,Chr20,15213924,15214005,1,Ensembl93,Feet and leg conformation,156859,Chr20
ENSBTAT00000042139-UMD3.1.1,bta-mir-320a-2 [Source:miRBase;Acc:MI0004748],bta-mir-320a-2,82,Chr20,15213924,15214005,1,Ensembl93,Milk caproic acid content,56641,Chr20
ENSBTAT00000042139-UMD3.1.1,bta-mir-320a-2 [Source:miRBase;Acc:MI0004748],bta-mir-320a-2,82,Chr20,15213924,15214005,1,Ensembl93,Milk stearic acid content,56642,Chr20
ENSBTAT00000042139-UMD3.1.1,bta-mir-320a-2 [Source:miRBase;Acc:MI0004748],bta-mir-320a-2,82,Chr20,15213924,15214005,1,Ensembl93,Milk palmitoleic acid content,56643,Chr20
ENSBTAT00000042140-UMD3.1.1,bta-mir-320a-1 [Source:miRBase;Acc:MI0012211],bta-mir-320a-1,82,Chr8,70060384,70060465,-1,Ensembl93,Omega-3 unsaturated fatty acid content,19784,Chr8
ENSBTAT00000042142-UMD3.1.1,bta-mir-375 [Source:miRBase;Acc:MI0009817],bta-mir-375,70,Chr2,107667516,107667585,-1,Ensembl93,Milk fever,213345,Chr2
ENSBTAT00000042142-UMD3.1.1,bta-mir-375 [Source:miRBase;Acc:MI0009817],bta-mir-375,70,Chr2,107667516,107667585,-1,Ensembl93,Milk oleic acid content,56590,Chr2
ENSBTAT00000042142-UMD3.1.1,bta-mir-375 [Source:miRBase;Acc:MI0009817],bta-mir-375,70,Chr2,107667516,107667585,-1,Ensembl93,Bovine respiratory disease susceptibility,95656,Chr2
ENSBTAT00000042142-UMD3.1.1,bta-mir-375 [Source:miRBase;Acc:MI0009817],bta-mir-375,70,Chr2,107667516,107667585,-1,Ensembl93,Milk lauric acid content,172069,Chr2
ENSBTAT00000042142-UMD3.1.1,bta-mir-375 [Source:miRBase;Acc:MI0009817],bta-mir-375,70,Chr2,107667516,107667585,-1,Ensembl93,Milk pentadecylic acid content,172070,Chr2
ENSBTAT00000042142-UMD3.1.1,bta-mir-375 [Source:miRBase;Acc:MI0009817],bta-mir-375,70,Chr2,107667516,107667585,-1,Ensembl93,Milk palmitic acid content,172071,Chr2
ENSBTAT00000042142-UMD3.1.1,bta-mir-375 [Source:miRBase;Acc:MI0009817],bta-mir-375,70,Chr2,107667516,107667585,-1,Ensembl93,Milk oleic acid content,172072,Chr2
ENSBTAT00000042143-UMD3.1.1,bta-mir-19a [Source:miRBase;Acc:MI0005460],bta-mir-19a,82,Chr12,66226836,66226917,1,Ensembl93,Myristoleic acid content,31771,Chr12
ENSBTAT00000042144-UMD3.1.1,bta-mir-29b-2 [Source:miRBase;Acc:MI0005043],bta-mir-29b-2,81,Chr16,77478033,77478113,1,Ensembl93,Residual gain,213216,Chr16
ENSBTAT00000042149-UMD3.1.1,,,103,Chr21,67564784,67564886,1,Ensembl93,Sire conception rate,124004,Chr21
ENSBTAT00000042150-UMD3.1.1,bta-mir-140 [Source:miRBase;Acc:MI0005010],bta-mir-140,94,Chr18,37088137,37088230,1,Ensembl93,Meat color b*,214943,Chr18
ENSBTAT00000042150-UMD3.1.1,bta-mir-140 [Source:miRBase;Acc:MI0005010],bta-mir-140,94,Chr18,37088137,37088230,1,Ensembl93,Residual feed intake,56463,Chr18
ENSBTAT00000042150-UMD3.1.1,bta-mir-140 [Source:miRBase;Acc:MI0005010],bta-mir-140,94,Chr18,37088137,37088230,1,Ensembl93,Birth index,30537,Chr18
ENSBTAT00000042151-UMD3.1.1,bta-let-7a-3 [Source:miRBase;Acc:MI0005452],bta-let-7a-3,74,Chr5,117119385,117119458,1,Ensembl93,Milk protein percentage,214821,Chr5
ENSBTAT00000042154-UMD3.1.1,bta-mir-338 [Source:miRBase;Acc:MI0009805],bta-mir-338,92,Chr19,52189629,52189720,1,Ensembl93,Somatic cell score,122111,Chr19
ENSBTAT00000042154-UMD3.1.1,bta-mir-338 [Source:miRBase;Acc:MI0009805],bta-mir-338,92,Chr19,52189629,52189720,1,Ensembl93,Milk yield,106550,Chr19
ENSBTAT00000042154-UMD3.1.1,bta-mir-338 [Source:miRBase;Acc:MI0009805],bta-mir-338,92,Chr19,52189629,52189720,1,Ensembl93,Milk butyric acid content,56361,Chr19
ENSBTAT00000042154-UMD3.1.1,bta-mir-338 [Source:miRBase;Acc:MI0009805],bta-mir-338,92,Chr19,52189629,52189720,1,Ensembl93,Milk caprylic acid content,56362,Chr19
