index,chr,end,gene_id,start,strand,gene_description,index,miRNA_identifier,description,symbol,miRNA_length,miRNA_chr,mirna_start,mirna_end,miRNA_strand,miRNA_source,trait,QTL_id_UMD31,QTL_chr
36,1,3721930.0,ENSBTAG00000017839,3483532.0,1.0,T cell lymphoma invasion and metastasis 1 [Source:VGNC Symbol;Acc:VGNC:56334],4408,ENSBTAT00000061732,bta-mir-2284i [Source:miRBase;Acc:MI0011294],bta-mir-2284i,77,1,3580210,3580286,1,Ensembl93,Presence of horns,163867,Chr1
36,1,3721930.0,ENSBTAG00000017839,3483532.0,1.0,T cell lymphoma invasion and metastasis 1 [Source:VGNC Symbol;Acc:VGNC:56334],4409,ENSBTAT00000061732,bta-mir-2284i [Source:miRBase;Acc:MI0011294],bta-mir-2284i,77,1,3580210,3580286,1,Ensembl93,Calving index,30481,Chr1
36,1,3721930.0,ENSBTAG00000017839,3483532.0,1.0,T cell lymphoma invasion and metastasis 1 [Source:VGNC Symbol;Acc:VGNC:56334],4410,ENSBTAT00000061732,bta-mir-2284i [Source:miRBase;Acc:MI0011294],bta-mir-2284i,77,1,3580210,3580286,1,Ensembl93,Calving ease (maternal),106485,Chr1
267,1,69724961.0,ENSBTAG00000002640,69248612.0,1.0,kalirin RhoGEF kinase [Source:VGNC Symbol;Acc:VGNC:30389],9943,ENSBTAT00000064494,,,85,1,69280212,69280296,1,Ensembl93,Body weight (weaning),213389,Chr1
267,1,69724961.0,ENSBTAG00000002640,69248612.0,1.0,kalirin RhoGEF kinase [Source:VGNC Symbol;Acc:VGNC:30389],9944,ENSBTAT00000064494,,,85,1,69280212,69280296,1,Ensembl93,Average daily gain,213396,Chr1
267,1,69724961.0,ENSBTAG00000002640,69248612.0,1.0,kalirin RhoGEF kinase [Source:VGNC Symbol;Acc:VGNC:30389],9945,ENSBTAT00000064494,,,85,1,69280212,69280296,1,Ensembl93,Interval to first estrus after calving,170016,Chr1
338,1,79725431.0,ENSBTAG00000044001,79041609.0,-1.0,LIM domain containing preferred translocation partner in lipoma [Source:NCBI gene;Acc:524132],1695,ENSBTAT00000050872,bta-mir-28 [Source:miRBase;Acc:MI0009785],bta-mir-28,86,1,79250531,79250616,-1,Ensembl93,Interval from first to last insemination,138546,Chr1
338,1,79725431.0,ENSBTAG00000044001,79041609.0,-1.0,LIM domain containing preferred translocation partner in lipoma [Source:NCBI gene;Acc:524132],1696,ENSBTAT00000050872,bta-mir-28 [Source:miRBase;Acc:MI0009785],bta-mir-28,86,1,79250531,79250616,-1,Ensembl93,Body weight (yearling),22770,Chr1
338,1,79725431.0,ENSBTAG00000044001,79041609.0,-1.0,LIM domain containing preferred translocation partner in lipoma [Source:NCBI gene;Acc:524132],1697,ENSBTAT00000050872,bta-mir-28 [Source:miRBase;Acc:MI0009785],bta-mir-28,86,1,79250531,79250616,-1,Ensembl93,Interval to first estrus after calving,170016,Chr1
384,1,83557613.0,ENSBTAG00000040399,83546312.0,-1.0,von Willebrand factor A domain containing 5B2 [Source:VGNC Symbol;Acc:VGNC:36854],3912,ENSBTAT00000057467,bta-mir-1224 [Source:miRBase;Acc:MI0010443],bta-mir-1224,86,1,83546862,83546947,-1,Ensembl93,Trans-6/9-C18:1 fatty acid content,20504,Chr1
384,1,83557613.0,ENSBTAG00000040399,83546312.0,-1.0,von Willebrand factor A domain containing 5B2 [Source:VGNC Symbol;Acc:VGNC:36854],3913,ENSBTAT00000057467,bta-mir-1224 [Source:miRBase;Acc:MI0010443],bta-mir-1224,86,1,83546862,83546947,-1,Ensembl93,Body weight (yearling),22770,Chr1
384,1,83557613.0,ENSBTAG00000040399,83546312.0,-1.0,von Willebrand factor A domain containing 5B2 [Source:VGNC Symbol;Acc:VGNC:36854],3914,ENSBTAT00000057467,bta-mir-1224 [Source:miRBase;Acc:MI0010443],bta-mir-1224,86,1,83546862,83546947,-1,Ensembl93,Interval to first estrus after calving,170016,Chr1
